Number,expense_account,status,message
GD-0043284,211200,updated,
GD-0043475,211200,updated,
BGD-001156,211200,updated,
GD-0043474,211200,updated,
BGD-000988,211200,updated,
RO-0010762,211200,updated,
GI-0003262,211200,not_found,no_bill
GI-0003263,211200,not_found,no_bill
GI-0003268,211200,not_found,no_bill
BGD-001139,211200,updated,
RO-0010719,211200,updated,
RO-0010755,211200,updated,
RO-0010750,211200,updated,
BGD-001054,211200,updated,
BGD-000957,211200,updated,
GD-0043413,211200,updated,
GD-0043442,211200,updated,
BGD-001011,211200,updated,
BGD-001056,211200,updated,
BGD-001205,211200,updated,
RO-0010781,211200,updated,
GI-0003261,211200,not_found,no_bill
GI-0003265,211200,not_found,no_bill
GI-0003269,211200,not_found,no_bill
BGD-001108,211200,updated,
RO-0010729,211200,updated,
GD-0043459,211200,updated,
BRO-000427,211200,updated,
BGD-000956,211200,updated,
RO-0010784,211200,updated,
RO-0010785,211200,updated,
GD-0043388,211200,updated,
BGD-001208,211200,updated,
BRO-000391,211200,updated,
GI-0003267,211200,not_found,no_bill
RO-0010763,211200,updated,
BGD-000978,211200,updated,
BGD-001010,211200,updated,
BGD-001012,211200,updated,
RO-0010728,211200,updated,
RO-0010795,211200,updated,
GD-0043386,211200,updated,
GD-0043297,211200,updated,
BGD-001135,211200,updated,
BGD-000986,211200,updated,
GI-0003266,211200,not_found,no_bill
RO-0010717,211200,updated,
RO-0010768,211200,updated,
BRO-000394,211200,updated,
GD-0043478,211200,updated,
GD-0043392,211200,updated,
GI-0003270,211200,not_found,no_bill
BGD-001125,211200,updated,
BGD-001153,211200,updated,
RO-0010782,211200,updated,
GD-0043385,211200,updated,
BGD-001081,211200,updated,
BGD-001155,211200,updated,
GD-0043373,211200,updated,
GD-0043314,211200,updated,
RO-0010759,211200,updated,
BRO-000409,211200,updated,
GD-0043281,211200,updated,
RO-0010764,211200,updated,
BGD-001038,211200,updated,
RO-0010798,211200,updated,
GI-0003262,211200,not_found,no_bill
GI-0003263,211200,not_found,no_bill
GI-0003268,211200,not_found,no_bill
BGD-001211,211200,updated,
RO-0010778,211200,updated,
BRO-000360,211200,updated,
BGD-001157,211200,updated,
RO-0010734,211200,updated,
GD-0043443,211200,updated,
BGD-001116,211200,updated,
BGD-001106,211200,updated,
BRO-000411,211200,updated,
BRO-000412,211200,updated,
GD-0043496,211200,updated,
RO-0010776,211200,updated,
GI-0003266,211200,not_found,no_bill
BGD-001181,211200,updated,
BGD-001069,211200,updated,
GD-0043403,211200,updated,
BGD-001018,211200,updated,
BGD-001149,211200,updated,
BRO-000395,211200,updated,
RO-0010801,211200,updated,
RO-0010708,211200,updated,
BGD-001084,211200,updated,
BGD-001178,211200,updated,
GD-0043372,211200,updated,
GD-0043427,211200,updated,
GD-0043433,211200,updated,
BGD-001140,211200,updated,
BGD-000997,211200,updated,
RO-0010787,211200,updated,
GD-0043460,211200,updated,
GD-0043316,211200,updated,
GD-0043376,211200,updated,
GD-0043401,211200,updated,
GD-0043493,211200,updated,
BRO-000397,211200,updated,
BRO-000385,211200,updated,
GD-0043482,211200,updated,
GI-0003270,211200,not_found,no_bill
RO-0010756,211200,updated,
BGD-001055,211200,updated,
GD-0043324,211200,updated,
BRO-000422,211200,updated,
BGD-001006,211200,updated,
RO-0010733,211200,updated,
GD-0043399,211200,updated,
GD-0043451,211200,updated,
GI-0003264,211200,not_found,no_bill
BGD-001077,211200,updated,
BGD-000994,211200,updated,
BGD-001213,211200,updated,
GI-0003267,211200,not_found,no_bill
