2025-12-02 09:51:48,220 - INFO - Log file created: Varify_partner/logs\partner_verify_20251202_095148.log
2025-12-02 09:51:48,892 - INFO - Successfully connected to Odoo as user ID: 2
2025-12-02 09:51:49,307 - INFO - Starting verification from index 0
2025-12-02 09:51:49,307 - INFO - Total records to process: 275
2025-12-02 09:51:49,307 - INFO - Processing batch 0-100 of 275
2025-12-02 09:51:59,409 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-12-02 09:51:59,539 - INFO - Partner found by old_code_partner: MRH001 - ID: 3710, Name: บริษัท เมืองเลยบิ๊กโฮม จำกัด
2025-12-02 09:51:59,539 - INFO - Partner found: MRH001 - ID: 3710, Name: บริษัท เมืองเลยบิ๊กโฮม จำกัด
2025-12-02 09:51:59,698 - INFO - Partner found by old_code_partner: YLY001 - ID: 245, Name: ห้างหุ้นส่วนจำกัด ยะลาย่งฮวด
2025-12-02 09:51:59,698 - INFO - Partner found: YLY001 - ID: 245, Name: ห้างหุ้นส่วนจำกัด ยะลาย่งฮวด
2025-12-02 09:51:59,839 - INFO - Partner found by old_code_partner: VEN6500042 - ID: 1353, Name: บริษัท ยิ่งเจริญ โปรแม็กซ์ จำกัด
2025-12-02 09:51:59,839 - INFO - Partner found: VEN6500042 - ID: 1353, Name: บริษัท ยิ่งเจริญ โปรแม็กซ์ จำกัด
2025-12-02 09:51:59,980 - INFO - Partner found by old_code_partner: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-12-02 09:51:59,980 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-12-02 09:52:00,116 - INFO - Partner found by old_code_partner: BTV004 - ID: 1519, Name: บริษัท บุญถาวร รีเทล คอร์ปอเรชั่น จำกัด (มหาชน)
2025-12-02 09:52:00,117 - INFO - Partner found: BTV004 - ID: 1519, Name: บริษัท บุญถาวร รีเทล คอร์ปอเรชั่น จำกัด (มหาชน)
2025-12-02 09:52:00,266 - INFO - Partner found by old_code_partner: BTV013 - ID: 778, Name: บริษัท บุญถาวรเซรามิค 2000 จำกัด
2025-12-02 09:52:00,266 - INFO - Partner found: BTV013 - ID: 778, Name: บริษัท บุญถาวรเซรามิค 2000 จำกัด
2025-12-02 09:52:00,412 - INFO - Partner found by old_code_partner: BTV016 - ID: 1521, Name: บริษัท บุญถาวรดีเวลลอปเม้นท์ จำกัด
2025-12-02 09:52:00,412 - INFO - Partner found: BTV016 - ID: 1521, Name: บริษัท บุญถาวรดีเวลลอปเม้นท์ จำกัด
2025-12-02 09:52:00,550 - INFO - Partner found by old_code_partner: BTV017 - ID: 780, Name: บริษัท บุญถาวร อินเตอร์เนชั่นแนล จำกัด
2025-12-02 09:52:00,550 - INFO - Partner found: BTV017 - ID: 780, Name: บริษัท บุญถาวร อินเตอร์เนชั่นแนล จำกัด
2025-12-02 09:52:00,679 - INFO - Partner found by old_code_partner: MRH001 - ID: 3710, Name: บริษัท เมืองเลยบิ๊กโฮม จำกัด
2025-12-02 09:52:00,680 - INFO - Partner found: MRH001 - ID: 3710, Name: บริษัท เมืองเลยบิ๊กโฮม จำกัด
2025-12-02 09:52:00,832 - INFO - Partner found by old_code_partner: YLY001 - ID: 245, Name: ห้างหุ้นส่วนจำกัด ยะลาย่งฮวด
2025-12-02 09:52:00,832 - INFO - Partner found: YLY001 - ID: 245, Name: ห้างหุ้นส่วนจำกัด ยะลาย่งฮวด
2025-12-02 09:52:00,973 - INFO - Partner found by old_code_partner: MRH001 - ID: 3710, Name: บริษัท เมืองเลยบิ๊กโฮม จำกัด
2025-12-02 09:52:00,973 - INFO - Partner found: MRH001 - ID: 3710, Name: บริษัท เมืองเลยบิ๊กโฮม จำกัด
2025-12-02 09:52:01,103 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:52:01,104 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:52:01,234 - INFO - Partner found by old_code_partner: YLY001 - ID: 245, Name: ห้างหุ้นส่วนจำกัด ยะลาย่งฮวด
2025-12-02 09:52:01,234 - INFO - Partner found: YLY001 - ID: 245, Name: ห้างหุ้นส่วนจำกัด ยะลาย่งฮวด
2025-12-02 09:52:01,388 - INFO - Partner found by old_code_partner: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-12-02 09:52:01,389 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-12-02 09:52:01,538 - INFO - Partner found by old_code_partner: BTV004 - ID: 1519, Name: บริษัท บุญถาวร รีเทล คอร์ปอเรชั่น จำกัด (มหาชน)
2025-12-02 09:52:01,538 - INFO - Partner found: BTV004 - ID: 1519, Name: บริษัท บุญถาวร รีเทล คอร์ปอเรชั่น จำกัด (มหาชน)
2025-12-02 09:52:01,677 - INFO - Partner found by old_code_partner: BTV004 - ID: 1519, Name: บริษัท บุญถาวร รีเทล คอร์ปอเรชั่น จำกัด (มหาชน)
2025-12-02 09:52:01,677 - INFO - Partner found: BTV004 - ID: 1519, Name: บริษัท บุญถาวร รีเทล คอร์ปอเรชั่น จำกัด (มหาชน)
2025-12-02 09:52:01,814 - INFO - Partner found by old_code_partner: TSP004 - ID: 3714, Name: คุณทองสุก โพล้งซิน
